id	name	host	link	time	yeild	photo	nutrients	instructions	number_ingredients
1	Velouté de choux fleur	750g.com	https://www.750g.com/veloute-de-choux-fleur-r61373.htm	25	6 servings	https://static.750g.com/images/600-600/b5912e166720a6e135aef6f00c87a53e/veloute-de-choux-fleur.png	not_given	Step 1 :Cut and chop the onion, as well as the carrots, wash the 1/2 cabbage then cut it into pieces.2nd step :Brown the onion with the olive oil in a saucepan over low heat, once it is golden adding the carrots then extend the cooking for about 10 min.Step 3:Add the water then all the ingredients except turmeric and cream.Bring to a boil then lower the heat and simmer 1h30.Step 4:Add the cream and turmeric while stirring.Mix everything.Step 5:Arrange the coriander leaves and the paprika for the decor.	11
2	Velouté de Tomates de France et roquette	750g.com	https://www.750g.com/veloute-de-tomates-de-france-et-roquette-r39799.htm	35	4 servings	https://static.750g.com/images/600-600/70f3e3787fede01274c84f230c43ce14/veloute-de-tomates-de-france-et-roquette.png	not_given	Step 1 :Mondy the tomatoes of France, remove the seeds, roughly chop them.Melt the chopped shallots with olive oil in a casserole dish.Add the arugula and the sugar, let melt.2nd step :Add the tomatoes in France, broth and pepper.Cook for 15 to 20 minutes over medium heat.Mix everything to get a creamy velouté.Serve hot with croutons rubbed with garlic.	6
3	Soupe mixée de chou-fleur et pois chiches aux amandes	750g.com	https://www.750g.com/soupe-mixee-de-chou-fleur-et-pois-chiches-aux-amandes-r207188.htm	125.0	4 servings	https://static.750g.com/images/600-600/46e192a96db6b2a5c1bc8973a5408323/soupe-choufleur-pois-chiches-img-7582.jpg	not_given	Step 1: Checkspeckers:The day before, put the chickpeas in a bowl, cover with cold water and let them soak the next day. The next day, rinse the chickpeas and cook them in a saucepan with water, over low heat under Covered for 60 minutes, until tender. Drain them and reserve them. Step 2: cauliflower:Wash the cauliflower, remove the core and the more external leaves. Keep the leaves more internal and cut the cauliflower into flowers. Bring the vegetable broth to a boil, immerse the flowers and cauliflower leaves, cook for 10 minutes. Once cooked, drain the cauliflower and keep the vegetable broth. Step 3: Soup:Peel the garlic, cut it into pieces. Brown it in another saucepan with olive oil and bird chili. Add the chickpeas cooked in water, thyme and sage. Salt, pepper, brown by mixing from time to time. Add the cauliflower, brown, then add the vegetable broth. Simmer for 5 minutes. Possibly add salt, then mix using a hand blender. Reserve the mixed soup thus obtained in the pan, cover. Step 4: popcorn:Heat the olive oil in a pan, add the corn, heat for 1 minute over high heat, then cover. As soon as the first grains burst, reduce the fire. Once the popcorn is ready, drain them on absorbent paper, add the salt, mix, set aside in a bowl. Step 5: Dressage and finish:Divide the soup in bowls, sprinkle with a drizzle of olive oil and a black hobby from the mill. Sprinkle with a stroke of oat sound, decorate with a few whole chickpeas, some whole almonds, thyme and popcorn as croutons.	18
4	Velouté de chou-fleur au bacon et noisettes torréfiées	750g.com	https://www.750g.com/veloute-de-chou-fleur-au-bacon-et-noisettes-torrefiees-r207305.htm	80	4 servings	https://static.750g.com/images/600-600/04908fdf8c5449ba3d5982a1cc94621e/veloute-choufleur-img-8696.jpg	not_given	Step 1 :These are all the ingredients you are going to need. Step 2: VegetablesPeel the potatoes, cut them into dice. Net the cauliflower by eliminating the more external leaves and the hard part of the core. Lave the rest, cut the cauliflower into florets and the core in pieces. Keep the most tender leaves. Step 3:Preheat the oven to 200 ° C. Disappear the flowers, the core pieces and the diced potatoes on a plate covered with parchment paper. Season with olive oil, chopped garlic, salt and pepper. Sprinkle with the vegetable broth. Bake for 40 minutes, turning the cauliflower halfway through cooking. Cook until the cauliflower is tender and the golden edges. Step 4: Hazelnuts and baconOnce the cauliflower is cooked, on another plate lined with parchment paper, arrange the bacon slices on one side and the hazelnuts on the other. Bake for 7 to 10 minutes, until the bacon slices become crisp and the roasted hazelnuts. Make the oven, cool. Rub the hazelnuts with absorbent paper to remove the skin. Step 5: SoupPeel the onion, chop it. Cut the tender leaves of the cauliflower into strips. Step 6:Heat the olive oil in a casserole dish, add the minced onion and the cauliflower leaves. Salt and brown for a few minutes, stirring from time to time. Step 7:Put aside two flowers of cauliflower cooked in the oven for dressage. When the onion becomes translucent, pour the rest of the cauliflower flowers and the baked potatoes in the casserole dish, with the cooking broth. Add the rest of the vegetable broth. Step 8:Mix everything with a plunging blender, until you get a smooth soup. Add the juice of half a freshly pressed lemon, mix. Add the crème fraîche, mix again. Step 9:Divide the velouté in bowls, add a drizzle of olive oil, crumbled bacon, a few crushed hazelnuts, slices of cauliflower flowers that you had put aside, a few strands of chopped chives and chili pepper Espelette. Serve hot.	18
5	Harira sans viande	750g.com	https://www.750g.com/harira-sans-viande-r56068.htm	45	10 servings	https://static.750g.com/images/600-600/3a64766fd5a0db7e8ac1ec15f5014dad/harira-sans-viande.png	not_given	Step 1 :Finely chop the onion, coriander and celery.2nd step :Poach the tomatoes in boiling water to remove their skin, then pass them to the reel.Step 3:Remove the skin from the chickpeas.Step 4:In a pressure cooker put the onion, coriander and celery, chickpeas, tomato, saffron, salt, pepper, ginger and tomato concentrate diluted in a little water.Pour the hot water over it and cook for about 30 min.Step 5:At the end of this time, add the handle of vermicelli and cook for a few minutes uncovered.Mix the flour with 1 glass of water and pour into the soup, stirring to avoid the formation of lumps.Step 6:Serve immediately, generously sprinkled with chopped fresh coriander.	13
6	Soupe express tomate et pois chiches	750g.com	https://www.750g.com/soupe-express-tomate-et-pois-chiches-r12663.htm	35	2 servings	https://static.750g.com/images/600-600/38cb4e19cec805811dd860f78f245be0/thinkstockphotos-177271852.jpg	not_given	Step 1 :Pour the contents of the boxes in a saucepan and bring to a boil with garlic and spices.When it_s hot, passing everything with a mixer plunging out of the heat, lengthening if necessary a little water _or broth if you have it aside_.2nd step :Then possibly add the sesame puree, mix.Return to the heat for a few moments while mixing the soup well and in order to serve hot in bowls.	8
7	Chorba frik maison	750g.com	https://www.750g.com/chorba-frik-r80470.htm	60.0	4 servings	https://static.750g.com/images/600-600/6893aa1fd1e1cfdf91b8750534ea0519/chorba-frik-maison.jpeg	not_given	Step 1 :Brown the onion, garlic, meat, grated tomato and spices in a little oil and butter.2nd step :Then add the tomato puree a little mint coriander and chickpeas, stir well.Step 3:Then wet and cook, closing the casserole or pot.Step 4:Add the frik about 15 minutes before the end of cooking.Step 5:Serve then sprinkle with mint.Step 6:Good tasting.	13
8	Soupe de pois chiches et pâtes _pasta e ceci_	750g.com	https://www.750g.com/soupe-de-pois-chiches-et-pates-pasta-e-ceci-r206880.htm	30	4 servings	https://static.750g.com/images/600-600/2d555fc3331b66966ead0044680ad9d4/soupe-pois-chiches-pates-img-1742s.jpg	not_given	Step 1: The tomato saucePeel the garlic, chop it, put it in a small saucepan with rosemary and olive oil. Take brown, add the tomato pulp, salt, pepper, cover the pan with a lid and cook for About ten minutes, until the sauce thickens. Once cooked, reserve the sauce off the heat. Step 2: ChickpeasPeel the garlic, cut it in half, put it in a large saucepan, add the bird chili and olive oil, brown. Add the chickpeas, salt, stir and cook for 5 minutes. Add the vegetable broth, mix. Turn off the fire. The help of a hand blender, mix the chickpeas directly in the pan. The texture must be coarse _about 3/4 of the chickpeas must be mixed_. Step 3: SoupPour the tomato sauce into the pan with the chickpeas and the broth. Mix. Bring to a boil, add the tagliatelle and cook them for the time indicated on the package _usually the tagliatelle cook in 6 minutes_. Possibly add salt, a hobby, a drizzle of olive oil and serve. Make the grated parmesan at the table so that each guest can sprinkle their soup plate just before tasting it, as we do in Italy.	13
9	Soupe de courgettes, pois-chiche et parmesan	750g.com	https://www.750g.com/soupe-de-courgettes-pois-chiche-et-parmesan-r96379.htm	55	6 servings	https://static.750g.com/images/600-600/a8ee5ff6c741a7d507a00b3ff674ba97/soupe-de-courgettes-pois-chiche-et-parmesan.jpg	not_given	Step 1 :Wash the zucchini then cut them into rings.2nd step :Peel the onion and cut it into strips then put it with the butter and olive oil in the tank fitted with the mixer. Land the simmer / function program P1 at 130 ° C, for 5 minutes.Step 3:Add the zucchini and the broth. Place the ultrablade chopper knife and launch the P2 soup program.Step 4:Add the parmesan and the chickpeas by taking a small handle for the final pepper decoration then salt if necessary.Mix 30 sec speed 6 then 10 seconds, speed 10. Step 5:Serve the soup in bowls with a few drops of extra virgin olive oil, a pinch of freshly ground black pepper, a few chickpeas and an additional touch of parmesan.	11
10	Harira _soupe marocaine_	750g.com	https://www.750g.com/harira-soupe-marocaine-r82241.htm	145.0	10 servings	https://static.750g.com/images/600-600/b2abc61003739208db895bde18907e04/harira-soupe-marocaine.jpeg	not_given	Step 1 :Put 2 to 3 l of water in a pot, add the cut meat, the celery cleaned from these wires and cut into small ends, salt and pepper.Bring to a boil, then cook for 2 hours over low heat.Halfway through cooking add the broken fabrics or peas, lenses, chickpeas and carrots cut into small dice.2nd step :At the end of cooking, take a little broth that you let cool _to prevent the eggs from cooking_.In a bowl, beat the two whole eggs, add the broth and mix well.Step 3:Incorporate the egg broth into the pot, add the shealed coriander, the vinegar and mix.If necessary you can add water if you find it a little too thick.Serve hot.This soup is kept very well in the freezer.	11
11	Harira au gigot d_agneau	750g.com	https://www.750g.com/harira-r83638.htm	40	6 servings	https://static.750g.com/images/600-600/b63193b53e7d3bb26107f8912b813f47/harira.jpeg	not_given	Step 1 :In a pot, mix, meat, marrow bones, onions, chickpeas, saffron and water.Salt and pepper.Cook the mixture for 20 minutes.Add your lenses, rice tomatoes, tomatoes, parsley, coriander and celery.2nd step :Cook once again 20 minutes.Add the diluted flour to a large glass of water, while turning constantly _do not make lumps_.Stir with spatula from time to time for 5 to 10 minutes.Serve the hot Harira accompanied by dates or cakes with chebbakia honey.	15
12	Potage à l_orientale	750g.com	https://www.750g.com/potage-a-lorientale-r3450.htm	30	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :In a large casserole dish, heat a little olive oil. Add the chopped onion and garlic.Blonde with soft lights.2nd step :Add the tomato box and chickpeas, grapes, then celery cut into small pieces.Salt, pepper.Add 2 curry teaspoons.Cook for 20 minutes.Step 3:Mix very fine.Serve hot.	10
