id	name	host	link	time	yeild	photo	nutrients	instructions	number_ingredients
1	Plies au curry	750g.com	https://www.750g.com/plies-au-curry-r5261.htm	30	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Brown the onions, previously sliced.Arrange them in a baking dish.Place your folds on it.Season with curry. Pour the big plant.Fare bake for 20 minutes at thermostat 6.	5
2	Filets de plie en papillote	750g.com	https://www.750g.com/filets-de-plie-en-papillote-r92322.htm	30	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Preheat the oven to 200/220 ° C.Cut your aluminum foil.Cut the diced tomatoes and zucchini.Place the vegetables on your aluminum paper, pile the garlic and add it, place the folds of folds, then a lemon fillet on it.Salt slightly.2nd step :Cover with the cream.Close the papillotes and bake for 25 min in an oven preheated to 190 ° C.Step 3:	7
3	Fiets de carrelet	750g.com	https://www.750g.com/fiets-de-carrelet-r39978.htm	85.0	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Cook the tamper fillets.2nd step :Meanwhile, chop the onions and brown them in a previously oiled pan.Step 3:Add the tomato puree and season.Cook over low heat for 20 min.Step 4:Place the nets on the tomato and server preparation.	6
4	Panaché de poisson à la vapeur, sauce à l_aneth	750g.com	https://www.750g.com/panache-de-poisson-a-la-vapeur-sauce-a-laneth-r33728.htm	25	4 servings	https://static.750g.com/images/600-600/46ad337a5aaeddfbba81b18f75746fac/panache-de-poisson-a-la-vapeur-sauce-a-l-aneth.png	not_given	Step 1 :- Prepare a court-bouillon, pour it at the bottom of a vapor cooking .- Remove the edges, wash the nets, to the mop, cut them in four. 2nd step :- Leaf the dill and keep the stems. Coarsely cut the leaves and reserve 4 strands for the decor. Step 3:- throw the dill stems in the court-bouillon in boiling .- Place the nets at the top of the steamer, salt, pepper.- Cover and count 8 to 12 minutes of steam cooking, depending on the thickness of the nets. According to the kind of fish chosen, if some cook faster, remove them immediately. Step 4:- Prepare a white butter sauce and add the downstream dill at the end, still stirring, and keep the sauce warm. Step 5:- When the fish is cooked, pour a spoon of sauce into each of the 4 hot plates.- Arrange the nets on it, cover them with a spoon of dill sauce.- Decorate with the strands of dill preserved and serve immediately .	7
5	Barbue en papillote	750g.com	https://www.750g.com/barbue-en-papillote-r43050.htm	42	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Raise the barbue nets by the fishmonger.2nd step :Place the fillets in the papillotes, with a drizzle of olive oil, salt and pepper, sprinkle mustard seeds and red berries.Step 3:Close the papillotes and place in the preheated oven at 200 ° for 12 minutes.Step 4:Serve accompanied by sweet potatoes puree for an original agreement.	6
6	Barbue au riesling	750g.com	https://www.750g.com/barbue-au-riesling-r89733.htm	25	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Take out the butter in advance from the refrigerator so that it softens. Heat the oven _thermostat 8/240 ° C_. Peel the shallots and chop them. 2nd step :Butter an oven dish and spread the fish fillets. Sprinkle with the riesling, salt, pepper, sprinkle with a pinch of thyme. Butter a household aluminum sheet on one side, and cover the dish, buttered side turned inward. Bake. Cook for 8 to 10 minutes, depending on the thickness. Step 3:Meanwhile, throw the tagliatelle in a large amount of boiling salted water, let them cook for 6 to 7 min., Drain them, pepper them, add 50g of butter, keep them warm. Step 4:Remove the dish from the oven, store the nets on a serving dish, previously heated, and leave them warm at the entrance to the off oven, without removing the aluminum sheet so that they do not dry out. Step 5:Remove from the heat, incorporate the rest of the butter into their cooking juices, piece by piece, whisking sharply. Then make the net with this sauce.	8
7	Duo de poissons marinés	750g.com	https://www.750g.com/duo-de-poissons-marines-r9484.htm	30	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Remove any edges from fish nets, place them from the freezer to firm them up. Slice the shallots lengthwise. Take the fish fillets out of the freezer and chop them in thin strips lengthwise. Place them in a hollow dish. Add the shallots and carrot in rings. Sprinkle them with lemons juice and olive oil. Sprinkle with a teaspoon of coarse salt, pink berries and coriander seeds. Let them marinate in the fridge for 2 hours by turning them regularly. Half an hour before serving cook the peeled potatoes and cut into slices for 15 to 20 minutes in the upper part of a steam cooker. Sprinkle them still hot white wine and 3 tbsp of the marinade. Salt them and pepper them slightly. Sprinkle with chopped chives. Dispatch the fish nets on a plate, alternating the colors. Decorate with a few strands of dill. Accompany potatoes.	15
8	Barbue aux tagliatelles	750g.com	https://www.750g.com/barbue-aux-tagliatelles-r12671.htm	25	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Take out the butter in advance from the refrigerator so that it softens. Heat the oven _thermostat 8/240 ° C_. Peel the shallots and chop them. 2nd step :Butter an oven dish and spread out fish girls. Sprinkle with white wine, salt, pepper, sprinkle with a pinch of thyme. Butter a household aluminum sheet on one side, and cover the dish, buttered side turned inward. Bake. Cook for 8 to 10 minutes, depending on the thickness. Step 3:Meanwhile, throw the tagliatelle in a large amount of boiling salted water, let them cook for 6 to 7 min., Drain them, pepper them, incorporate them 50g. Butter, keep them warm. Step 4:Remove the dish from the oven, store the nets on a serving dish, previously heated, and leave them warm at the entrance to the off oven, without removing the aluminum sheet so that they do not dry out. Step 5:Remove from the heat, incorporate the rest of the butter into their cooking juices, piece by piece, whisking sharply. Then make the net with this sauce.	8
9	Emincé de barbue et huitres pochées au champagne	750g.com	https://www.750g.com/emince-de-barbue-et-huitres-pochees-au-champagne-r20961.htm	40	6 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Open the oysters and throw their water. Carefully remove the small shell broken, detach the flesh and put it on hold in a bowl. They will secure a second water after 15 to 20 min. 2nd step :Pour the oysters with their water reconstituted in a small saucepan. Add a net of lemon juice. Carry for tremors over moderate heat and pocket them for 30 seconds. Drain them quickly, filter the juice in a saucepan. Add the champagne and a pinch of pepper. Reduce to about 15cl. Pour the liquid cream, wear ebullition. Remove from the heat, add the salmon eggs, the caviar and 3 chopped chives. Check the seasoning and reserve warm in a double boiler, without boiling. Step 3:Cut the barbue nets into large strips, at an angle. Add salt and pepper. Quickly color them with oil and butter in a stove. Reheat the oysters by simply immersing them in their cream sauce. Ply the hot plates with a little sauce. Place the cut barbue straps, intercounting the oysters. Step 4:Coat the hot plates with a little sauce. Place the cut barbue straps, intercounting the oysters.	10
10	Dos de barbue à l_andouille et au persil	750g.com	https://www.750g.com/dos-de-barbue-a-landouille-et-au-persil-r44174.htm	20	4 servings	https://static.750g.com/images/600-600/default/placeholder-img-default-mint.png	not_given	Step 1 :Heat the butter in a saucepan; Continue the coloring of the butter by almost burning the whey. 2nd step :Then pass this butter in a fine cloth. Step 3:Cook the barbue fillets and chanterelles in an anti-adhesive pan with just 1 half-cup of olive oil; Salt, pepper and turn them over. Step 4:Meanwhile, dig the cooked potatoes cooked with water or in the chimney in the fireplace, with a small spoon to remove the interior. Fry them in oil; When they are well golden, drain them and keep them warm. Step 5:To serve: place in the bottom of the plate for half of the inside of the potatoes roughly crushed with a fork, the apple fried on it, the other half in the dug apple, the barbue fillet on the apple on the apple From earth, the andouille rings on the barbue nets, the chanterelles next to it. Reheat the butter to 60 °, add the vinegar and the parsley plush. Mix for a few moments, and coat the plate of this sauce.	9
